keys,pt,en,ja
"INICIAR MISSÃO","INICIAR MISSÃO","START MISSION","ミッション開始"
"SAIR DO JOGO","SAIR DO JOGO","QUIT GAME","ゲーム終了"
"STATUS DA EQUIPE","STATUS DA EQUIPE","SQUAD STATUS","部隊ステータス"
"REGISTRO TÁTICO, CARGA DE EQUIPAMENTO E ATRIBUTOS DO ESQUADRÃO","REGISTRO TÁTICO, CARGA DE EQUIPAMENTO E ATRIBUTOS DO ESQUADRÃO","TACTICAL RECORD, GEAR LOADOUT AND SQUAD ATTRIBUTES","戦術記録・装備スロット・部隊能力値"
"CARGA","CARGA","CARGO","装備"
"VIVO","VIVO","ALIVE","生存"
"INCAPACITADA","INCAPACITADA","INCAPACITATED","戦闘不能"
"AUSENTE","AUSENTE","ABSENT","離脱中"
"[TAB] ou [ESC] Retornar ao Labirinto","[TAB] ou [ESC] Retornar ao Labirinto","[TAB] or [ESC] Return to Maze","[TAB] / [ESC] 迷宮に戻る"
"[1] Atacar Singular","[1] Atacar Singular","[1] Single Attack","[1] 単体攻撃"
"[2] Habilidades","[2] Habilidades","[2] Skills","[2] スキル"
"[3] Defender","[3] Defender","[3] Defend","[3] 防御"
"[3] ★ Defender (Impenetrável)","[3] ★ Defender (Impenetrável)","[3] ★ Defend (Impenetrable)","[3] ★ 絶対防御"
"[4] Fugir (Grupo)","[4] Fugir (Grupo)","[4] Flee (Squad)","[4] 逃走（部隊）"
"[1] Magia de Área (15 MP)","[1] Magia de Área (15 MP)","[1] Area Magic (15 MP)","[1] 範囲魔法 (15 MP)"
"[2] Curar Alvo Crítico (10 MP)","[2] Curar Alvo Crítico (10 MP)","[2] Critical Heal (10 MP)","[2] 単体回復 (10 MP)"
"[3] Cura em Grupo (20 MP)","[3] Cura em Grupo (20 MP)","[3] Party Heal (20 MP)","[3] 全体回復 (20 MP)"
"[3] Cura em Grupo [Bloqueado Lv.5]","[3] Cura em Grupo [Bloqueado Lv.5]","[3] Party Heal [Locked Lv.5]","[3] 全体回復 [Lv.5で解放]"
"[4] Voltar","[4] Voltar","[4] Back","[4] 戻る"
"O CAPITÃO CAIU\nMISSÃO FRACASSADA","O CAPITÃO CAIU\nMISSÃO FRACASSADA","THE CAPTAIN HAS FALLEN\nMISSION FAILED","隊長戦死\n作戦失敗"
"RELATÓRIO DA MISSÃO:","RELATÓRIO DA MISSÃO:","MISSION REPORT:","作戦報告:"
"RETORNAR AO TÍTULO","RETORNAR AO TÍTULO","RETURN TO TITLE","タイトルに戻る"
"MISSÃO CUMPRIDA\nSTATION ABYSS VENCIDA","MISSÃO CUMPRIDA\nSTATION ABYSS VENCIDA","MISSION ACCOMPLISHED\nSTATION ABYSS CONQUERED","作戦完了\nSTATION ABYSS 攻略"
"[ Pressione ESPAÇO / ENTER para Retornar ao Menu ]","[ Pressione ESPAÇO / ENTER para Retornar ao Menu ]","[ Press SPACE / ENTER to Return to Menu ]","[ SPACE / ENTER キーでメニューへ戻る ]"
"SPACE SPOOTER","SPACE SPOOTER","SPACE SPOOTER","スペース・スプーター"
"[ E ] INVERTE DIREÇÃO","[ E ] INVERTE DIREÇÃO","[ E ] REVERSE DIRECTION","[ E ] 旋回反転"
"PRESSIONE [ E ] PARA JOGAR","PRESSIONE [ E ] PARA JOGAR","PRESS [ E ] TO PLAY","[ E ] キーで開始"
"★ VITÓRIA! ★","★ VITÓRIA! ★","★ VICTORY! ★","★ 勝利！ ★"
"100 METEOROS DESVIADOS","100 METEOROS DESVIADOS","100 ASTEROIDS DODGED","隕石100個回避達成"
"SISTEMA DESCONECTANDO...","SISTEMA DESCONECTANDO...","SYSTEM DISCONNECTING...","システム切断中..."
"COLISÃO DETECTADA!","COLISÃO DETECTADA!","COLLISION DETECTED!","衝突検知！"
